App_Category,App_Type,Score,Review_Date,Review_Content,Thumbs_Up,Cleaned_Review,Dominant_Topic_ID,Topic_Name
Traditional Bank A,Traditional Bank,1,2026-06-16 23:52:55,Would be real nice if it would let me update. It tells me when I try that it will be updated soon. 6 hours later I still get the message to update and can't open my account 😞,0,real nice let update tells try updated soon hours later still message update cant open,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,5,2026-06-16 23:27:58,"So app itself is pretty good but Chase says for me to use the online version since my phone uses Android 11 and the app shortly won't work for me. . Only problem is that the online version uses the app to verify me for logging on. not cool. thinking about moving my account. === update: they won't help you by email but if you call the number on your card, hit zero (after verification) to get a human, who will give you a one-time code, and after you give the operator that code, you sign in like...",0,pretty good chase says online version since phone uses android shortly wont work problem online version uses verify logging cool thinking moving update wont help email call number card hit zero verification human give onetime code give operator code sign,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,1,2026-06-16 23:26:53,"not only does the app not provide answers to basic questions (how are wire transfer fees structured, is there a limit to cash withdrawals, etc.) it does not sync well with the mobile page when trying to log in and get questions answered that the AI assistant is unable to answer. coupled with no one answering the phone on the 800 number or local branch, it's time to find a new bank...",0,provide answers basic questions wire transfer fees structured limit cash withdrawals etc sync well mobile page trying log questions answered assistant unable answer coupled one answering phone number local branch time find new,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-16 23:24:40,I do not want to update!!!! I like it just the way it is!!!,0,want update way,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,5,2026-06-16 23:15:20,Great!!!!!,0,great,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,1,2026-06-16 22:54:35,I'm 15 minutes into just trying to see what the charge is on my card,0,minutes trying see charge card,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-16 22:49:09,very dissatisfied it keeps interrupting what I'm trying to do and asking me to do voice when I have voice problems I'm tired of this bank interrupting me trying to transact my money and on this account I'm thinking I might need to just cancel my bank account and go with another bank because I'm getting tired of all this runaround what happened to easy. you just made it harder for me and some,0,dissatisfied keeps interrupting trying asking voice voice problems tired interrupting trying transact thinking might need cancel another getting tired runaround happened easy made harder,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,2,2026-06-16 22:32:51,The amount of points I'm missing out of because the cards won't connect to paze is frustrating. CSR won't work on doordash either. Feels like I'm paying a high fee without actually being able to use the benefits of the card.,0,amount points missing cards wont connect paze frustrating csr wont work doordash either feels paying high fee without actually able benefits card,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-16 22:17:07,"Keeps mandating an update every few weeks. if you're gonna make an app, set and forget is the way",0,keeps mandating update every weeks youre gonna make set forget way,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,1,2026-06-16 22:16:07,Attempting to add international wire recipient and attempting verify by picture of ID results in infinite loop verifying identity.,0,attempting add international wire recipient attempting verify picture results infinite loop verifying identity,5,"Theme 6: awesome, chase, card"
