App_Category,App_Type,Score,Review_Date,Review_Content,Thumbs_Up
Traditional Bank A,Traditional Bank,4,2026-06-19 18:00:13,"*Appreciate Chase Bank! Their app is pretty complete with all one needs to Stay connected on One's money Matters; Debit, Saving, Investing, etc. Also,with Now, More Local Banks available,-like here in Middle TN, Inbank brings You knowledgeable & Kind Clientele in a Nice non-Bank feel. Finally, evn wth [some] advertising on Their app! Smiles* It isn't too difficult to navigate. For some1 Who is forever having to change passwords, I appreciate thumb entry. I have enjoyed Chase*",1
Traditional Bank A,Traditional Bank,2,2026-06-19 17:10:22,Every transaction amount needs to have a smaller figure under it that shows what the Current Balance is after that particular transaction. Bank of America has it and it is so helpful to see how a transaction moves the current balance.,67
Traditional Bank A,Traditional Bank,5,2026-06-19 16:42:33,the best,0
Traditional Bank A,Traditional Bank,2,2026-06-19 16:22:15,"The all works fine. I've used it for 5 years. The fact that we still do not have a keyword search for our transaction history kind of says a lot about Chase Bank though. I should not have to log on to my PC to do that. The most basic of apps have keyword search options. It will let me search transaction type but that does not help me when I think one specific place has double charged me for years. So my verdict is, this app kind of stinks. Not the first time I've had this problem.",1
Traditional Bank A,Traditional Bank,1,2026-06-19 16:16:45,terrible company with horrible customer service. app is fine when it works and when it doesn't good luck with anybody helping you.,0
Traditional Bank A,Traditional Bank,5,2026-06-19 16:08:34,Great app.,0
Traditional Bank A,Traditional Bank,5,2026-06-19 15:23:06,Great site. Excellent service,0
Traditional Bank A,Traditional Bank,1,2026-06-19 14:53:38,forced reviews get 1 star,0
Traditional Bank A,Traditional Bank,5,2026-06-19 10:31:48,super easy online banking & a lot of security options if you needed them.,0
Traditional Bank A,Traditional Bank,2,2026-06-19 08:53:16,you guys need to be open on the weekends all hours,0
Traditional Bank A,Traditional Bank,5,2026-06-19 05:54:47,The agents are very helpful when needed and I can easily read and understand my statements each month.,0
Traditional Bank A,Traditional Bank,5,2026-06-19 05:39:53,always protected and trusted,0
Traditional Bank A,Traditional Bank,5,2026-06-19 04:52:25,very safe and good.,0
Traditional Bank A,Traditional Bank,3,2026-06-19 04:48:48,I made a payment before it was due ànd lt has not shown up yet . and they are holding charges due to it.,0
Traditional Bank A,Traditional Bank,1,2026-06-19 04:33:17,Terrible,0
Traditional Bank A,Traditional Bank,1,2026-06-19 04:00:51,Boo,0
Traditional Bank A,Traditional Bank,5,2026-06-19 03:09:25,Great,0
Traditional Bank A,Traditional Bank,1,2026-06-19 02:23:59,"106MB?? lol optimize your app, devs, for a banking app that's ridiculous",1
Traditional Bank A,Traditional Bank,5,2026-06-19 02:14:25,"Plenty of resources, amazing user-friendly interface, an abundance of available products, AI tools for assistance, and all of the contacts you need all in one place if help is necessary. Seamless app and great service.",0
Traditional Bank A,Traditional Bank,5,2026-06-19 01:58:58,excellent app,0
Traditional Bank A,Traditional Bank,5,2026-06-19 00:23:10,Security is top notch!,0
Traditional Bank A,Traditional Bank,1,2026-06-18 23:51:14,I closed my account 3 yes ago and they won't let you open account for life after don't recommend...,0
Traditional Bank A,Traditional Bank,5,2026-06-18 23:21:41,"06/18/2026: Occasionally give me a ""rooted phone warning"" when accessing my mortgage information? My phone is NOT rooted. It will eventually allow me to access payment options. This is irritating.",0
Traditional Bank A,Traditional Bank,5,2026-06-18 22:31:47,excellent card,0
Traditional Bank A,Traditional Bank,5,2026-06-18 22:28:08,I really enjoy the app. I'm able to check my accounts as often as I like and make payments easily.,0
Traditional Bank A,Traditional Bank,5,2026-06-18 21:40:42,easy,0
Traditional Bank A,Traditional Bank,1,2026-06-18 21:28:06,"Just like nearly everyone else has been complaining about, you need to fix this erroneous rooted/malware error. No one has any clue why we are receiving it and it's preventing us from using essential features like Zelle. It should have never made it to live production like this and now it's been a problem for months.",0
Traditional Bank A,Traditional Bank,1,2026-06-18 20:15:53,Chase sucks,0
Traditional Bank A,Traditional Bank,5,2026-06-18 18:40:44,great app,0
Traditional Bank A,Traditional Bank,5,2026-06-18 18:37:32,great,0
Traditional Bank A,Traditional Bank,5,2026-06-18 18:24:09,quick response I would recommend the app to friends,0
Traditional Bank A,Traditional Bank,1,2026-06-18 17:56:21,down to one star; have no idea what they did but none of my accounts show up anymore - get it together chase.,0
Traditional Bank A,Traditional Bank,5,2026-06-18 17:52:38,Amazing way to keep track of my money and having built in zelle just put the cherry on top. Love it!,0
Traditional Bank A,Traditional Bank,5,2026-06-18 16:54:29,I have good experience to work with Chase,0
Traditional Bank A,Traditional Bank,5,2026-06-18 16:46:34,Its a bank. They give me a line of credit. I appreciate that. I do not like that they want to lower my credit amount due to less usage than they would like.,0
Traditional Bank A,Traditional Bank,5,2026-06-18 16:43:19,great bank,0
Traditional Bank A,Traditional Bank,5,2026-06-18 16:33:05,Always available,0
Traditional Bank A,Traditional Bank,5,2026-06-18 16:19:16,good,0
Traditional Bank A,Traditional Bank,5,2026-06-18 16:14:42,very useful and easy to navigate.,0
Traditional Bank A,Traditional Bank,1,2026-06-18 15:05:14,always issues with using this card,0
Traditional Bank A,Traditional Bank,5,2026-06-18 14:56:41,Chase has always been there for me!,0
Traditional Bank A,Traditional Bank,5,2026-06-18 14:47:00,very good,0
Traditional Bank A,Traditional Bank,5,2026-06-18 13:58:35,Amazing benefits,0
Traditional Bank A,Traditional Bank,1,2026-06-18 12:12:13,Works but there's no dark mode.,0
Traditional Bank A,Traditional Bank,4,2026-06-18 10:22:27,my digital wallet wouldn't in work till I received me actual card,0
Traditional Bank A,Traditional Bank,1,2026-06-18 10:14:17,don't understand why I keep needing a new app every month help me understand this please,0
Traditional Bank A,Traditional Bank,1,2026-06-18 09:36:37,I'm not trying to use the damn app. I just want to pay my card balance.,0
Traditional Bank A,Traditional Bank,1,2026-06-18 07:54:28,No longer works on my Galaxy S9+ due to OS requirements. Why developers force obsolence on perfectly good hardware is sinister.,1
Traditional Bank A,Traditional Bank,5,2026-06-18 07:50:53,I'm trying to get to my bank account and I can't because it says to update but I can't update because I don't have no room I unabled now what do I do,0
Traditional Bank A,Traditional Bank,5,2026-06-18 07:37:02,Horrible,0
Traditional Bank A,Traditional Bank,5,2026-06-18 06:32:59,There is nothing else to say other than you're the best.,0
Traditional Bank A,Traditional Bank,5,2026-06-18 06:30:49,"user friendly, secure",0
Traditional Bank A,Traditional Bank,5,2026-06-18 05:50:08,Okay thanks,0
Traditional Bank A,Traditional Bank,1,2026-06-18 05:13:05,was fine but now I can't see my accounts or cards.,1
Traditional Bank A,Traditional Bank,1,2026-06-18 05:04:10,"I used to think Chase was great. Easy to access on my phone via the app. Now they have decided that I have to buy a new phone in order to use the app because of an update to their platform. I think this is outrageous. Chase is punishing a long term, frugal customer f or not throwing away money on a new phone, because my old one works just fine. I don't need to use Chase as my main credit card. I used them because they provided an easy to use platform and good service. Might have to rethink this",1
Traditional Bank A,Traditional Bank,5,2026-06-18 04:57:38,excellent site,0
Traditional Bank A,Traditional Bank,1,2026-06-18 04:50:00,"The card will only take bank checks, M.O no automatic payment options.",0
Traditional Bank A,Traditional Bank,5,2026-06-18 04:43:08,Great service...,0
Traditional Bank A,Traditional Bank,5,2026-06-18 04:26:29,easy to use to deposit checks.,0
Traditional Bank A,Traditional Bank,5,2026-06-18 04:01:26,Super User-friendly App,0
Traditional Bank A,Traditional Bank,5,2026-06-18 02:52:27,Great job,0
Traditional Bank A,Traditional Bank,5,2026-06-18 00:57:35,"Love it, use it almost everyday❤",0
Traditional Bank A,Traditional Bank,5,2026-06-17 23:44:01,Always excessible and convenient for use!,0
Traditional Bank A,Traditional Bank,4,2026-06-17 23:03:16,faster atm and early pay 😌 than 5 🌟,0
Traditional Bank A,Traditional Bank,5,2026-06-17 22:43:44,very easy process got approved in seconds. Thank You Chase,0
Traditional Bank A,Traditional Bank,3,2026-06-17 22:20:55,"Font too small after they made update changes. Gen Z programers need to understand people their parents age use this this app too. Make fonts larger, thanks.",0
Traditional Bank A,Traditional Bank,5,2026-06-17 21:54:33,excellent,0
Traditional Bank A,Traditional Bank,4,2026-06-17 21:42:16,navigating in app cumbersome at times,0
Traditional Bank A,Traditional Bank,1,2026-06-17 21:36:49,had alot of trouble with checks funds took alot of time to ve in my account that was also restricted then had a hold on different check had no access to zelle when I was traveling and never received my new card initially!!👎👎👎,0
Traditional Bank A,Traditional Bank,5,2026-06-17 21:33:49,user friendly and helpful,0
Traditional Bank A,Traditional Bank,5,2026-06-17 21:06:59,great app but I'm not buying a new phone just to keep it. you got to think about all your customers.,0
Traditional Bank A,Traditional Bank,2,2026-06-17 21:05:38,Hate the effort to force biometrics. Leave my fingerprints alone.,0
Traditional Bank A,Traditional Bank,1,2026-06-17 20:33:27,This card declines every time I try to use it. I've reported it to customer service 3x. Each time they say they fixed it but it's not. I plan on closing this card permanently.,0
Traditional Bank A,Traditional Bank,5,2026-06-17 20:24:47,No problems here.,0
Traditional Bank A,Traditional Bank,1,2026-06-17 19:55:13,Confusing,0
Traditional Bank A,Traditional Bank,3,2026-06-17 19:44:28,Security system can be problematic to access information and funds.,0
Traditional Bank A,Traditional Bank,4,2026-06-17 18:50:48,the app could use a little improvement but it's not bad,0
Traditional Bank A,Traditional Bank,5,2026-06-17 18:48:00,I been dealing with you guys for years. I love everything about chase.,0
Traditional Bank A,Traditional Bank,3,2026-06-17 18:47:17,"After the biometric lock screen, Chase also asks for a screen lock code that once entered gets stuck on an infinite loading screen, with no way to bypass without clearing full app data. App is unusable as a result of the load loop.",0
Traditional Bank A,Traditional Bank,2,2026-06-17 18:37:14,the app is crashing so often and the system doesn't recognize the payment inmediatly,0
Traditional Bank A,Traditional Bank,5,2026-06-17 17:33:31,outstanding card never any problems,0
Traditional Bank A,Traditional Bank,5,2026-06-17 17:26:03,love the app. easy to navigate and get my banking done,0
Traditional Bank A,Traditional Bank,5,2026-06-17 16:47:58,one of the best apps I use. love the fingerprint plus pin combination access. I wish more apps did that. I do wish when I have a negative balance my available credit reflected that in some way.,0
Traditional Bank A,Traditional Bank,5,2026-06-17 16:45:20,easy access and payments app.,0
Traditional Bank A,Traditional Bank,1,2026-06-17 16:39:48,I don't trust your constant update requirements. I want an opt out option on updates.,0
Traditional Bank A,Traditional Bank,4,2026-06-17 16:27:30,Great app 👌,0
Traditional Bank A,Traditional Bank,5,2026-06-17 14:28:53,it's amazing.,0
Traditional Bank A,Traditional Bank,1,2026-06-17 14:24:52,"After banking with Chase / JP Morgan for several years, I truly have come to detest Chase for way too many and way too lengthy reasons to go into here. Still, their app is one of their stronger points (unless of course you deduct points for locking your cards and charges still coming through on them). Oh, wait; that's one of the way many banking issues that make them detestable. Thankfully, I'm about to switch, and so this is my Dear John letter of sorts. 😄",0
Traditional Bank A,Traditional Bank,1,2026-06-17 13:20:14,Not good,0
Traditional Bank A,Traditional Bank,5,2026-06-17 12:49:30,Very good app bank,0
Traditional Bank A,Traditional Bank,5,2026-06-17 11:14:39,Love it!,0
Traditional Bank A,Traditional Bank,1,2026-06-17 09:31:22,What was wrong with the way that it was??? If it ain't Broke - DON'T FIX IT.,0
Traditional Bank A,Traditional Bank,3,2026-06-17 08:18:20,It's a bit troubling to get the app and the information isn't available,0
Traditional Bank A,Traditional Bank,5,2026-06-17 07:52:21,very nice,0
Traditional Bank A,Traditional Bank,2,2026-06-17 07:25:00,"I Can't Update Hi, currently on an old operating system of Android 12. Soon you will be removing my ability to use the app. Your message saying ""update your device"" is insulting, as if buying a new phone is cheap.",0
Traditional Bank A,Traditional Bank,5,2026-06-17 06:54:56,excelente,0
Traditional Bank A,Traditional Bank,5,2026-06-17 06:54:26,"Great service, lucky to have chase!",0
Traditional Bank A,Traditional Bank,5,2026-06-17 06:50:16,Chase bank is exactly as advertised. Mobile app features are easy to navigate and use.,0
Traditional Bank A,Traditional Bank,4,2026-06-17 06:26:21,Great program wonderful customer service.,0
Traditional Bank A,Traditional Bank,4,2026-06-17 06:19:40,easy to updated,0
Traditional Bank A,Traditional Bank,3,2026-06-17 05:17:37,"I have the bonvey hotel card and always have to call and argue about my points and it's always back and forth from chase to bonvey, saying it's the other ones fault. I don't use anymore. I usually get my points accept this last time. too many problems and confusion or misdirecting on purpose?",0
Traditional Bank A,Traditional Bank,5,2026-06-17 04:54:37,excellent. easy to handle.,0
Traditional Bank A,Traditional Bank,1,2026-06-17 03:59:21,App is giving me issues and I can't chat with a real person to fix it. Chatbots are clueless,0
Traditional Bank A,Traditional Bank,1,2026-06-17 03:26:50,"sent new debit card, NOT in Chase system yet!!",0
Traditional Bank A,Traditional Bank,1,2026-06-17 03:20:05,I already clicked on update numerous times. why can't I access my bank account?,0
Traditional Bank A,Traditional Bank,5,2026-06-17 02:51:59,amazing simplicity,0
Traditional Bank A,Traditional Bank,1,2026-06-17 02:31:00,Will not install,0
Traditional Bank A,Traditional Bank,1,2026-06-17 01:54:43,The update will not download and im unable to access my bank information. What's up with that??,0
Traditional Bank A,Traditional Bank,5,2026-06-17 00:56:17,The app looks and works perfectly.,0
Traditional Bank A,Traditional Bank,3,2026-06-17 00:52:20,don't be changing the way to find my bill.,0
Traditional Bank A,Traditional Bank,5,2026-06-17 00:09:57,"Great service.I love it., not only in a time of need but always that's why I switched to chase .great bank .Thank so much make's life easier",0
Traditional Bank A,Traditional Bank,1,2026-06-16 23:52:55,Would be real nice if it would let me update. It tells me when I try that it will be updated soon. 6 hours later I still get the message to update and can't open my account 😞,0
Traditional Bank A,Traditional Bank,5,2026-06-16 23:27:58,"So app itself is pretty good but Chase says for me to use the online version since my phone uses Android 11 and the app shortly won't work for me. . Only problem is that the online version uses the app to verify me for logging on. not cool. thinking about moving my account. === update: they won't help you by email but if you call the number on your card, hit zero (after verification) to get a human, who will give you a one-time code, and after you give the operator that code, you sign in like...",0
Traditional Bank A,Traditional Bank,1,2026-06-16 23:26:53,"not only does the app not provide answers to basic questions (how are wire transfer fees structured, is there a limit to cash withdrawals, etc.) it does not sync well with the mobile page when trying to log in and get questions answered that the AI assistant is unable to answer. coupled with no one answering the phone on the 800 number or local branch, it's time to find a new bank...",0
Traditional Bank A,Traditional Bank,1,2026-06-16 23:24:40,I do not want to update!!!! I like it just the way it is!!!,0
Traditional Bank A,Traditional Bank,5,2026-06-16 23:15:20,Great!!!!!,0
Traditional Bank A,Traditional Bank,1,2026-06-16 22:54:35,I'm 15 minutes into just trying to see what the charge is on my card,0
Traditional Bank A,Traditional Bank,1,2026-06-16 22:49:09,very dissatisfied it keeps interrupting what I'm trying to do and asking me to do voice when I have voice problems I'm tired of this bank interrupting me trying to transact my money and on this account I'm thinking I might need to just cancel my bank account and go with another bank because I'm getting tired of all this runaround what happened to easy. you just made it harder for me and some,0
Traditional Bank A,Traditional Bank,2,2026-06-16 22:32:51,The amount of points I'm missing out of because the cards won't connect to paze is frustrating. CSR won't work on doordash either. Feels like I'm paying a high fee without actually being able to use the benefits of the card.,0
Traditional Bank A,Traditional Bank,1,2026-06-16 22:17:07,"Keeps mandating an update every few weeks. if you're gonna make an app, set and forget is the way",0
Traditional Bank A,Traditional Bank,1,2026-06-16 22:16:07,Attempting to add international wire recipient and attempting verify by picture of ID results in infinite loop verifying identity.,0
Traditional Bank A,Traditional Bank,1,2026-06-16 22:10:37,Why i cannot get to the app. I need to pay my freedom card. Im really getting piss you guys kept on telling app will be on my phone soon. I have been trying this mess for days now. My credit card bill is due in one day. Im not going to be happy if you guys charge me late fees because of your mistake.,0
Traditional Bank A,Traditional Bank,5,2026-06-16 22:06:47,Good,0
Traditional Bank A,Traditional Bank,2,2026-06-16 22:05:17,I'm not fixing update my app every six months.... All because y'all want to use ai or other stuff.,0
Traditional Bank A,Traditional Bank,5,2026-06-16 21:43:59,one of the innovative forward thinking Banking apps in the market. clean and smooth banking app.,0
Traditional Bank A,Traditional Bank,1,2026-06-16 21:29:17,"Does not work with the Customer to utilize points into other gift options, besides points at Hotel. Customer svc hangs up on you.",0
Traditional Bank A,Traditional Bank,5,2026-06-16 21:18:46,its great.,0
Traditional Bank A,Traditional Bank,5,2026-06-16 20:50:43,"this bank rarely goes "" down""! only bank I can say that about.",0
Traditional Bank A,Traditional Bank,1,2026-06-16 20:36:18,Very bad would no install,0
Traditional Bank A,Traditional Bank,1,2026-06-16 20:22:46,garbage bank....,0
Traditional Bank A,Traditional Bank,5,2026-06-16 19:48:37,great,0
Traditional Bank A,Traditional Bank,1,2026-06-16 19:29:04,too difficult to use and they keep forcing you to upgrade your hardware,0
Traditional Bank A,Traditional Bank,1,2026-06-16 19:18:22,I used to think your app was the best bank in the world I changed my mind... you changed the android 12... tp 13..now I cannot use this app.. I will change my bank account...,0
Traditional Bank A,Traditional Bank,5,2026-06-16 18:37:54,very good,0
Traditional Bank A,Traditional Bank,1,2026-06-16 18:35:48,"it would be nice if there was something that showed you an up-to-date total of how much of your cash back for the month you already used, like literally every other card issuer.",0
Traditional Bank A,Traditional Bank,3,2026-06-16 18:34:18,hard to see yearly rewards totals and quarterly totals and some things the app is harder than the website,0
Traditional Bank A,Traditional Bank,5,2026-06-16 18:29:08,great,0
Traditional Bank A,Traditional Bank,5,2026-06-16 18:21:40,usually works when I want it to.,0
Traditional Bank A,Traditional Bank,5,2026-06-16 18:08:12,nice,0
Traditional Bank A,Traditional Bank,3,2026-06-16 18:06:47,need a way to see the breakdown of each user on a shared credit card account,0
Traditional Bank A,Traditional Bank,2,2026-06-16 18:02:07,Not very well designed. Everything is there but it takes away the convenience of an app.,0
Traditional Bank A,Traditional Bank,5,2026-06-16 17:21:22,I love chase bank.,0
Traditional Bank A,Traditional Bank,5,2026-06-16 16:58:20,"Udated as of 06/16%2026 I just called back customer service because I saw a missed call. After a short menu I spoke to a live person. Answered my questions amd made sure I didn't want anything else. Experience a phone etiquette I didnt think it exesited anymore. Can't fully describe. Sydney, chase should be using you as a poster child for customer support. Chase has definitely upt their game or has got one impressive AI.",0
Traditional Bank A,Traditional Bank,1,2026-06-16 16:35:36,"Trying to get on this app to do stuff and have to wade through page after page of things popping up just to get to my account.. feels like its actively trying to prevent me from paying my bills. I wasnt even going to write any review.. Guess how I got here. If you said the app interrupted me by asking for it, give yourself a gold star for the day.",0
Traditional Bank A,Traditional Bank,5,2026-06-16 16:15:29,Easy to move around in apps.,0
Traditional Bank A,Traditional Bank,5,2026-06-16 16:15:11,Easiest to use. All important information is up front and accessible.,0
Traditional Bank A,Traditional Bank,5,2026-06-16 15:54:22,The process is quick and easy,0
Traditional Bank A,Traditional Bank,5,2026-06-16 15:40:00,"Am updating my app too many times yet when I try to get information about my account it asked me to up date, again a d again..",0
Traditional Bank A,Traditional Bank,5,2026-06-16 14:45:45,Always dependable for customer service and follow through,0
Traditional Bank A,Traditional Bank,5,2026-06-16 14:34:53,Can't get to my accou can't check my accountsnt,0
Traditional Bank A,Traditional Bank,1,2026-06-16 13:22:25,takes up too much space and too many updates,0
Traditional Bank A,Traditional Bank,1,2026-06-16 12:21:49,forced to take up more space on my phone!! Ridiculous! Good enough as is,0
Traditional Bank A,Traditional Bank,1,2026-06-16 08:43:00,I don't understand it tell me what to do or no update at all I'm satisfied with current situation even without update can't you not understand me imby checking my money s thank im ok without update.,0
Traditional Bank A,Traditional Bank,1,2026-06-16 08:10:04,Frustrating for Senior Citizens,0
Traditional Bank A,Traditional Bank,2,2026-06-16 07:52:00,very confusing,0
Traditional Bank A,Traditional Bank,5,2026-06-16 06:44:12,Great service and support 👏,0
Traditional Bank A,Traditional Bank,5,2026-06-16 06:20:49,👍,0
Traditional Bank A,Traditional Bank,4,2026-06-16 06:13:18,"This time, I experienced a different type of nursing. I need blood to be given. I informed the nurse that my port line was activated. However, two nurses had already stuck me 4 times in my right hand. I'm trying to get blood for the lab and trying to access the port to give my meds. Her tone was disrespectful and harsh. she stated the portbis my life line. I the access is not obtained, then what. I explained to her that my port was inserted years ago because my veins are very bad to access.",0
Traditional Bank A,Traditional Bank,2,2026-06-16 06:09:46,"horrible investement stability, while scrolling through stocks it justs crashes and sometime doesnt even stay at specific column. horrible",0
Traditional Bank A,Traditional Bank,1,2026-06-16 06:08:57,"Keeps saying ""Loading soon""",0
Traditional Bank A,Traditional Bank,1,2026-06-16 06:06:55,Terrible,0
Traditional Bank A,Traditional Bank,5,2026-06-16 05:33:44,great,0
Traditional Bank A,Traditional Bank,5,2026-06-16 05:20:42,"I would recommend doing business with this bank, they are always ready to help you with all your banking needs. I appreciate how they have helped me too protect my accounts with them.",0
Traditional Bank A,Traditional Bank,1,2026-06-16 05:15:31,"I just called to cancel my card because my wife lost hers while on a trip to Florida. the computer said there were multiple charges today, but when I was connected to a live person that I could barely understand, he said there were no charges today. I know I used it today, so I am concerned. please hire people that I can understand, I know chase can afford it.",0
Traditional Bank A,Traditional Bank,5,2026-06-16 05:11:29,Very good app.,0
Traditional Bank A,Traditional Bank,5,2026-06-16 04:25:09,I love this app. I use it all the time. I'm concerned that the new update starting August 1st will shut me out? my phone is an OS 12. will I still be able to use this app?,0
Traditional Bank A,Traditional Bank,5,2026-06-16 04:15:13,excellent,0
Traditional Bank A,Traditional Bank,5,2026-06-16 04:01:16,Excellent,0
Traditional Bank A,Traditional Bank,1,2026-06-16 03:51:08,Not good as it used to be tells me I must update but then every time I update it is not working doesn't allow me to access my account through mobile app,0
Traditional Bank A,Traditional Bank,5,2026-06-16 03:49:02,"Great Mobile Banking App to have, it is very reliable, dependable, safe and secure for having it. As I continue to use it for my banking needs, I have no problems or issues with it for all the monetary things that I do",0
Traditional Bank A,Traditional Bank,5,2026-06-16 03:43:04,delta fair chase bank sucks,0
Traditional Bank A,Traditional Bank,5,2026-06-16 03:29:56,good,0
Traditional Bank A,Traditional Bank,3,2026-06-16 03:14:35,not sure,0
Traditional Bank A,Traditional Bank,5,2026-06-16 03:06:25,EXCELLENCE ALL AROUND,0
Traditional Bank A,Traditional Bank,5,2026-06-16 02:47:19,"Hello definitely this app is like banking in person as if you are at the bank the only difference is that you manage your account by yourself, it is amazing the way I can receive money or send by zelle, I really love Chase app",0
Traditional Bank A,Traditional Bank,4,2026-06-16 02:31:52,This app is of Critical use to keep up with my account.,0
Traditional Bank A,Traditional Bank,5,2026-06-16 02:10:48,never any problem,0
Traditional Bank A,Traditional Bank,1,2026-06-16 02:05:22,it won't even download its been 3-hrs already should have left it alone guess have to find another bank,0
Traditional Bank A,Traditional Bank,5,2026-06-16 02:04:34,grateful,0
Traditional Bank A,Traditional Bank,5,2026-06-16 00:56:58,knowledgeable assistant,0
Traditional Bank A,Traditional Bank,3,2026-06-16 00:54:02,"I'm just getting started, I don't know what i think yet",0
Traditional Bank A,Traditional Bank,5,2026-06-16 00:48:37,very helpful thank you,0
Traditional Bank A,Traditional Bank,5,2026-06-16 00:41:31,no bad reviews here. Very satisfied.,0
Traditional Bank A,Traditional Bank,1,2026-06-16 00:39:26,awful,0
Traditional Bank A,Traditional Bank,1,2026-06-16 00:38:18,it's good yeah but the updates are big for no reason -gamer reference the updates are worse then cod and war thunder,0
Traditional Bank A,Traditional Bank,5,2026-06-16 00:19:30,Good app,0
Traditional Bank A,Traditional Bank,5,2026-06-16 00:12:59,good,0
Traditional Bank A,Traditional Bank,5,2026-06-15 23:42:43,Great experience,0
Traditional Bank A,Traditional Bank,5,2026-06-15 23:38:30,I'm having trouble right now getting into my phone check my balance,0
Traditional Bank A,Traditional Bank,5,2026-06-15 23:31:26,Good Good,0
Traditional Bank A,Traditional Bank,5,2026-06-15 23:19:59,Great,0
Traditional Bank A,Traditional Bank,5,2026-06-15 23:09:37,very sufficient to use.,0
Traditional Bank A,Traditional Bank,5,2026-06-15 23:06:04,Everything has been great,0
Traditional Bank A,Traditional Bank,4,2026-06-15 22:55:06,just wanted to update without all the other things getting in the way!!! 😞,0
Traditional Bank A,Traditional Bank,1,2026-06-15 22:45:30,Impossible to get together. One stars is too high! I'm VERY disappointed. I'm disabled and need this app,0
Traditional Bank A,Traditional Bank,5,2026-06-15 22:44:16,I love chase Banks Services is very good,0
Traditional Bank A,Traditional Bank,1,2026-06-15 22:01:14,"cant search transactions by title keywords, or any text prompts. difficult to sort transactions",0
Traditional Bank A,Traditional Bank,1,2026-06-15 21:14:45,very confusing...not easy to do,0
Traditional Bank A,Traditional Bank,5,2026-06-15 21:04:49,not sure,0
Traditional Bank A,Traditional Bank,1,2026-06-15 20:57:06,"Apparently, my 4 year-old phone is too old to use this app anymore and I need to buy an entire new device to keep using this. Thanks again, banking industry.",1
Traditional Bank A,Traditional Bank,1,2026-06-15 20:56:44,You are crooks.,0
Traditional Bank A,Traditional Bank,4,2026-06-15 20:44:04,I forget my password and I font get enough rewards for doordash or prime.amazon is good though.,0
Traditional Bank A,Traditional Bank,4,2026-06-15 20:02:55,Good,0
Traditional Bank A,Traditional Bank,5,2026-06-15 19:52:13,very good,0
Traditional Bank A,Traditional Bank,4,2026-06-15 19:48:21,Chase has great customer service. They have stopped people that were trying to steal from my bank account and saved me hundreds of dollars because of it. I've been a customer for almost 40 years.,0
Traditional Bank A,Traditional Bank,5,2026-06-15 19:46:28,excellent,0
Traditional Bank A,Traditional Bank,5,2026-06-15 18:46:27,great app,0
Traditional Bank A,Traditional Bank,5,2026-06-15 18:43:39,User friendly,0
